trade_no,date,pair,result,r,risk_pct,zero_duration
1,2025-04-04,GBPJPY,lock,0.4706,0.05,false
2,2025-04-09,GBPJPY,sl,-1,0.08,true
3,2025-04-11,GBPJPY,sl,-1,0.05,true
4,2025-04-16,XAUUSD,tp,6,0.03,true
5,2025-04-21,XAUUSD,tp,6,0.08,true
6,2025-04-22,XAUUSD,tp,6,0.08,true
7,2025-06-04,GBPJPY,lock,0.4706,0.05,false
8,2025-06-20,GBPJPY,eod,2.2471,0.05,false
9,2025-07-08,GBPJPY,lock,0.4706,0.05,false
10,2025-07-09,GBPJPY,lock,0.4706,0.08,false
11,2025-07-18,GBPJPY,lock,0.4706,0.05,false
12,2025-07-22,GBPJPY,sl,-1,0.05,false
13,2025-08-22,GBPJPY,lock,0.4706,0.05,false
14,2025-09-03,XAUUSD,sl,-1,0.08,true
15,2025-09-08,XAUUSD,tp,6,0.03,false
16,2025-09-09,XAUUSD,lock,0.4286,0.08,false
17,2025-09-18,GBPJPY,lock,0.4706,0.05,false
18,2025-10-01,GBPJPY,lock,0.4706,0.08,false
19,2025-10-06,GBPJPY,tp,6.9412,0.05,false
20,2025-10-08,GBPJPY,eod,2.7059,0.08,false
21,2025-10-16,XAUUSD,tp,6,0.08,false
22,2025-10-30,GBPJPY,tp,6.9412,0.08,false
23,2025-11-12,GBPJPY,lock,0.4706,0.05,false
24,2025-11-20,GBPJPY,lock,0.4706,0.08,false
25,2025-11-24,GBPJPY,lock,0.4706,0.05,false
26,2025-11-26,GBPJPY,lock,0.4706,0.05,false
27,2025-12-22,GBPJPY,lock,0.4706,0.05,false
28,2025-12-23,XAUUSD,tp,6,0.08,false
29,2025-12-26,XAUUSD,tp,6,0.08,false
30,2026-01-13,GBPJPY,tp,6.9412,0.08,false
31,2026-01-20,GBPJPY,lock,0.4706,0.05,false
32,2026-01-21,XAUUSD,tp,6,0.08,true
33,2026-01-26,XAUUSD,tp,6,0.08,true
34,2026-01-28,XAUUSD,tp,6,0.08,true
35,2026-02-04,GBPJPY,tp,6.9412,0.05,false
36,2026-02-11,GBPJPY,lock,0.4706,0.08,false
37,2026-02-17,GBPJPY,tp,6.9412,0.05,false
38,2026-03-10,GBPJPY,lock,0.4706,0.05,false
39,2026-03-11,GBPJPY,lock,0.4706,0.05,false
40,2026-03-19,XAUUSD,tp,6,0.08,true
41,2026-03-23,XAUUSD,tp,6,0.08,true
